case_id,supplier_id,supplier_name,invoice_id,po_id,invoice_date,case_created_date,disputed_amount_usd,system_reason_code,priority_supplier,case_status,resolution,approval_level,handling_minutes,resolution_days,sla_target_days,sla_met,reopened,missing_evidence,systems_accessed,systems_accessed_count,documents_reviewed,documents_reviewed_count,analyst_id
MRG-2026-0011,V-410221,Harbor Home Goods,INV-922478,PO-742907,2026-08-07,2026-08-16,18839.88,PRICE_MISMATCH,No,CLOSED,PARTIAL_ADJUSTMENT,AP Team Lead,10,2.1,5,Yes,No,No,Coupa; Outlook; SAP,3,Invoice; PO; Pricing Agreement,3,AP-A06
MRG-2026-0012,V-744205,BluePeak Logistics,INV-175717,PO-998259,2026-08-06,2026-08-10,8073.19,DUPLICATE,No,CLOSED,PAY_AS_INVOICED,AP Analyst,7,1.8,5,Yes,No,No,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A08
MRG-2026-0013,V-100184,NorthStar Consumer Products,INV-982240,PO-732505,2026-03-02,2026-03-10,19138.54,PRICE_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Team Lead,11,1.1,3,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO; Pricing Agreement,3,AP-A08
MRG-2026-0014,V-301442,Solara Imports,INV-176165,PO-611651,2026-02-20,2026-03-11,9653.3,DUPLICATE,Yes,CLOSED,REJECT_DISPUTE,AP Analyst,5,8.6,3,No,No,No,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A07
MRG-2026-0015,V-633190,Evergreen Facilities,INV-455577,PO-515211,2026-02-17,2026-02-28,24730.37,QUANTITY_MISMATCH,No,CLOSED,REQUEST_CREDIT_NOTE,AP Team Lead,33,2.6,5,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,PO; Proof of Delivery,2,AP-A08
MRG-2026-0016,V-203811,Apex Industrial Supply,INV-412513,PO-541310,2026-02-06,2026-03-02,26335.43,PRICE_MISMATCH,No,CLOSED,ESCALATE,AP Team Lead,16,3.5,5,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO; Pricing Agreement,3,AP-A08
MRG-2026-0017,V-100184,NorthStar Consumer Products,INV-407116,PO-966801,2026-06-24,2026-06-29,102227.43,TAX,Yes,CLOSED,PAY_PO_AMOUNT,AP Manager,54,2.9,3,Yes,No,No,Outlook; SAP; SharePoint,3,Invoice; Master Agreement; PO,3,AP-A05
MRG-2026-0018,V-203811,Apex Industrial Supply,INV-190339,PO-992591,2026-01-24,2026-02-12,34078.9,CONTRACT_TERM,No,CLOSED,ESCALATE,AP Team Lead,83,15.0,5,No,Yes,No,Coupa; Outlook; SAP; SharePoint,4,Email Thread; PO,2,AP-A08
MRG-2026-0019,V-301442,Solara Imports,INV-118386,PO-590032,2026-07-22,2026-08-01,38519.9,PRICE_MISMATCH,Yes,CLOSED,PAY_AS_INVOICED,AP Team Lead,21,1.3,3,Yes,Yes,No,Coupa; Outlook; SAP; SharePoint,4,PO; Pricing Agreement,2,AP-A05
MRG-2026-0020,V-512870,Pinnacle Packaging,INV-999158,PO-724974,2026-05-11,2026-05-30,16889.88,MISSING_RECEIPT,No,CLOSED,PAY_AS_INVOICED,AP Team Lead,28,1.1,5,Yes,No,No,Outlook; Receiving; SAP,3,Invoice; PO; Proof of Delivery; Receiving Confirmation,4,AP-A07
MRG-2026-0021,V-100184,NorthStar Consumer Products,INV-484236,PO-760696,2026-01-25,2026-01-27,29353.89,QUANTITY_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Team Lead,14,2.9,3,Yes,No,No,Coupa; Outlook; SAP,3,Goods Receipt; Invoice; PO; Proof of Delivery,4,AP-A08
MRG-2026-0022,V-301442,Solara Imports,INV-922285,PO-925542,2026-02-18,2026-03-03,23553.77,MISSING_RECEIPT,Yes,CLOSED,PAY_AS_INVOICED,AP Team Lead,20,15.9,3,No,No,No,Receiving; SAP,2,Invoice; Proof of Delivery; Receiving Confirmation,3,AP-A03
MRG-2026-0023,V-301442,Solara Imports,INV-478068,PO-956077,2026-08-01,2026-08-26,10709.09,DUPLICATE,Yes,CLOSED,REJECT_DISPUTE,AP Team Lead,6,0.7,3,Yes,No,No,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A06
MRG-2026-0024,V-203811,Apex Industrial Supply,INV-837105,PO-934935,2026-01-26,2026-02-06,26754.05,QUANTITY_MISMATCH,No,CLOSED,REQUEST_CREDIT_NOTE,AP Team Lead,20,1.2,5,Yes,No,No,Coupa; Outlook; Receiving,3,Goods Receipt; Invoice; PO; Proof of Delivery,4,AP-A04
MRG-2026-0025,V-512870,Pinnacle Packaging,INV-351487,PO-566617,2026-07-08,2026-07-15,27009.04,DUPLICATE,No,CLOSED,ESCALATE,AP Team Lead,12,1.1,5,Yes,No,No,Coupa; SAP,2,Invoice; PO; Pricing Agreement,3,AP-A06
MRG-2026-0026,V-203811,Apex Industrial Supply,INV-544872,PO-644288,2026-08-26,2026-08-31,26196.96,OTHER,No,CLOSED,ESCALATE,AP Team Lead,40,14.2,5,No,Yes,Yes,Outlook; SAP; TMS,3,Email Thread; Invoice,2,AP-A01
MRG-2026-0027,V-100184,NorthStar Consumer Products,INV-764637,PO-700575,2026-04-08,2026-04-20,16086.62,QUANTITY_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Team Lead,10,2.4,3,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,Goods Receipt; Invoice; PO; Proof of Delivery,4,AP-A01
MRG-2026-0028,V-100184,NorthStar Consumer Products,INV-468936,PO-640347,2026-01-22,2026-01-28,6580.26,DUPLICATE,Yes,CLOSED,REJECT_DISPUTE,AP Analyst,7,0.7,3,Yes,No,No,Coupa; SAP,2,Payment History; Prior Invoice,2,AP-A06
MRG-2026-0029,V-203811,Apex Industrial Supply,INV-238210,PO-697087,2026-03-08,2026-03-19,13143.33,QUANTITY_MISMATCH,No,CLOSED,ESCALATE,AP Team Lead,35,2.8,5,Yes,Yes,No,Outlook; Receiving; SAP,3,Invoice; PO; Proof of Delivery,3,AP-A04
MRG-2026-0030,V-203811,Apex Industrial Supply,INV-975627,PO-781410,2025-12-23,2026-01-03,46333.53,CONTRACT_TERM,No,CLOSED,ESCALATE,AP Team Lead,29,11.3,5,No,No,No,Coupa; Outlook; SAP,3,Email Thread; Master Agreement,2,AP-A04
MRG-2026-0031,V-410221,Harbor Home Goods,INV-237596,PO-630020,2026-06-21,2026-07-05,35103.07,MISSING_RECEIPT,No,CLOSED,ESCALATE,AP Team Lead,23,19.1,5,No,No,No,Coupa; Outlook; Receiving; SAP,4,Invoice; PO; Proof of Delivery; Receiving Confirmation,4,AP-A02
MRG-2026-0032,V-633190,Evergreen Facilities,INV-166086,PO-636911,2026-05-02,2026-05-09,6900.74,FREIGHT,No,CLOSED,ESCALATE,AP Analyst,16,17.1,5,No,No,No,Coupa; SAP; SharePoint,3,Invoice; PO; Pricing Agreement,3,AP-A04
MRG-2026-0033,V-203811,Apex Industrial Supply,INV-275437,PO-650910,2025-12-30,2026-01-16,12588.27,PRICE_MISMATCH,No,CLOSED,PAY_AS_INVOICED,AP Team Lead,19,0.9,5,Yes,No,No,Coupa; SAP; SharePoint,3,PO; Pricing Agreement,2,AP-A05
MRG-2026-0034,V-410221,Harbor Home Goods,INV-962153,PO-812461,2026-04-12,2026-04-28,1769.98,DUPLICATE,No,CLOSED,REJECT_DISPUTE,AP Analyst,5,1.7,5,Yes,No,No,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A03
MRG-2026-0035,V-100184,NorthStar Consumer Products,INV-493277,PO-763931,2026-05-28,2026-06-16,45395.59,DUPLICATE,Yes,CLOSED,REJECT_DISPUTE,AP Team Lead,22,1.3,3,Yes,No,No,Coupa; SAP; TMS,3,Carrier Documentation; Freight Terms; Invoice; PO,4,AP-A08
MRG-2026-0036,V-410221,Harbor Home Goods,INV-624053,PO-882408,2026-02-21,2026-03-05,8102.46,PRICE_MISMATCH,No,CLOSED,PAY_PO_AMOUNT,AP Analyst,16,1.8,5,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,PO; Pricing Agreement,2,AP-A08
MRG-2026-0037,V-100184,NorthStar Consumer Products,INV-124074,PO-825386,2025-12-28,2026-01-19,146080.61,OTHER,Yes,CLOSED,ESCALATE,AP Manager,45,2.9,3,Yes,No,No,Coupa; Outlook; SharePoint,3,Invoice; Master Agreement,2,AP-A08
MRG-2026-0038,V-100184,NorthStar Consumer Products,INV-812993,PO-539401,2026-06-01,2026-06-12,29052.44,QUANTITY_MISMATCH,Yes,CLOSED,ESCALATE,AP Team Lead,19,1.5,3,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,Goods Receipt; Invoice; PO; Proof of Delivery,4,AP-A06
MRG-2026-0039,V-100184,NorthStar Consumer Products,INV-758646,PO-600270,2026-03-16,2026-04-03,10182.29,QUANTITY_MISMATCH,Yes,CLOSED,ESCALATE,AP Team Lead,20,1.4,3,Yes,No,No,Receiving; SAP,2,Invoice; Proof of Delivery,2,AP-A08
MRG-2026-0040,V-100184,NorthStar Consumer Products,INV-309537,PO-922919,2026-06-17,2026-07-02,16819.47,PRICE_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Team Lead,23,0.8,3,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO; Pricing Agreement,3,AP-A05
MRG-2026-0041,V-100184,NorthStar Consumer Products,INV-906129,PO-960675,2026-02-26,2026-03-09,25179.18,QUANTITY_MISMATCH,Yes,CLOSED,PARTIAL_ADJUSTMENT,AP Team Lead,24,2.7,3,Yes,No,No,Coupa; Receiving; SAP,3,Goods Receipt; Invoice; PO,3,AP-A06
MRG-2026-0042,V-301442,Solara Imports,INV-909351,PO-763616,2026-03-29,2026-04-13,17165.0,FREIGHT,Yes,CLOSED,REJECT_DISPUTE,AP Team Lead,41,1.5,3,Yes,Yes,No,Outlook; SharePoint,2,Carrier Documentation; Freight Terms; PO,3,AP-A05
MRG-2026-0043,V-203811,Apex Industrial Supply,INV-837011,PO-847531,2026-06-24,2026-07-04,13921.8,DUPLICATE,No,CLOSED,REJECT_DISPUTE,AP Team Lead,7,1.3,5,Yes,No,No,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A04
MRG-2026-0044,V-744205,BluePeak Logistics,INV-931906,PO-954215,2026-06-10,2026-06-13,22404.58,DUPLICATE,No,CLOSED,REJECT_DISPUTE,AP Team Lead,4,0.9,5,Yes,No,No,Coupa; SAP,2,Invoice; Payment History,2,AP-A08
MRG-2026-0045,V-301442,Solara Imports,INV-695701,PO-996350,2026-02-21,2026-03-16,26747.69,OTHER,Yes,CLOSED,REJECT_DISPUTE,AP Team Lead,5,1.0,3,Yes,No,No,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A06
MRG-2026-0046,V-410221,Harbor Home Goods,INV-590857,PO-875289,2026-01-09,2026-01-14,64671.28,TAX,No,CLOSED,ESCALATE,AP Manager,37,15.8,5,No,Yes,No,Coupa; Outlook; SAP; Tax Config,4,Invoice; PO; Supplier Tax Document; Tax Configuration,4,AP-A05
MRG-2026-0047,V-203811,Apex Industrial Supply,INV-660873,PO-944279,2026-03-17,2026-03-20,4949.7,FREIGHT,No,CLOSED,REJECT_DISPUTE,AP Analyst,43,1.3,5,Yes,No,No,Outlook; SAP; TMS,3,Carrier Documentation; Invoice; PO,3,AP-A07
MRG-2026-0048,V-301442,Solara Imports,INV-766034,PO-801598,2026-03-10,2026-03-28,12565.23,DUPLICATE,Yes,CLOSED,PARTIAL_ADJUSTMENT,AP Team Lead,32,1.1,3,Yes,Yes,No,Coupa; Outlook; Receiving; SAP,4,Goods Receipt; Invoice; PO; Proof of Delivery,4,AP-A05
MRG-2026-0049,V-744205,BluePeak Logistics,INV-841152,PO-607240,2026-01-29,2026-02-19,9096.79,QUANTITY_MISMATCH,No,CLOSED,PARTIAL_ADJUSTMENT,AP Analyst,22,4.7,5,Yes,No,No,Coupa; Outlook; Receiving,3,Goods Receipt; Invoice; Proof of Delivery,3,AP-A03
MRG-2026-0050,V-203811,Apex Industrial Supply,INV-477543,PO-945935,2026-01-05,2026-01-20,14610.78,QUANTITY_MISMATCH,No,CLOSED,REQUEST_CREDIT_NOTE,AP Team Lead,23,1.0,5,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,Goods Receipt; Invoice; Proof of Delivery,3,AP-A04
MRG-2026-0051,V-203811,Apex Industrial Supply,INV-447364,PO-689508,2026-04-04,2026-04-23,10849.91,PRICE_MISMATCH,No,CLOSED,PAY_PO_AMOUNT,AP Team Lead,13,2.6,5,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO; Pricing Agreement,3,AP-A06
MRG-2026-0052,V-633190,Evergreen Facilities,INV-997262,PO-699511,2026-06-27,2026-07-12,6713.56,DUPLICATE,No,CLOSED,REJECT_DISPUTE,AP Analyst,5,1.1,5,Yes,No,No,Coupa; SAP,2,Payment History; Prior Invoice,2,AP-A02
MRG-2026-0053,V-203811,Apex Industrial Supply,INV-757448,PO-974116,2026-07-28,2026-08-01,35395.59,CONTRACT_TERM,No,CLOSED,PAY_PO_AMOUNT,AP Team Lead,44,3.0,5,Yes,No,Yes,Coupa; Outlook; SAP; SharePoint,4,Email Thread; Master Agreement,2,AP-A02
MRG-2026-0054,V-301442,Solara Imports,INV-938648,PO-852589,2026-05-01,2026-05-15,18291.47,MISSING_RECEIPT,Yes,CLOSED,ESCALATE,AP Team Lead,24,17.5,3,No,No,No,Coupa; Outlook; Receiving; SAP,4,Invoice; PO; Proof of Delivery; Receiving Confirmation,4,AP-A02
MRG-2026-0055,V-512870,Pinnacle Packaging,INV-662915,PO-514836,2026-03-25,2026-04-04,6994.38,CONTRACT_TERM,No,CLOSED,PARTIAL_ADJUSTMENT,AP Analyst,23,12.7,5,No,No,No,Coupa; Outlook; Receiving; SAP,4,PO; Proof of Delivery,2,AP-A04
MRG-2026-0056,V-744205,BluePeak Logistics,INV-613418,PO-857320,2026-06-29,2026-07-22,21270.58,QUANTITY_MISMATCH,No,CLOSED,PAY_PO_AMOUNT,AP Team Lead,22,1.3,5,Yes,No,No,Coupa; Outlook; Receiving,3,Goods Receipt; PO,2,AP-A04
MRG-2026-0057,V-301442,Solara Imports,INV-944470,PO-861606,2025-12-22,2026-01-09,12655.21,DUPLICATE,Yes,CLOSED,REJECT_DISPUTE,AP Team Lead,13,1.8,3,Yes,Yes,No,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A06
MRG-2026-0058,V-203811,Apex Industrial Supply,INV-243865,PO-767353,2026-06-15,2026-06-26,200632.76,OTHER,No,CLOSED,ESCALATE,AP Manager,30,17.9,5,No,No,No,Coupa; Outlook; SAP,3,Case Notes; Email Thread; Invoice,3,AP-A08
MRG-2026-0059,V-100184,NorthStar Consumer Products,INV-152018,PO-549549,2026-08-04,2026-08-19,19770.68,FREIGHT,Yes,CLOSED,REJECT_DISPUTE,AP Team Lead,42,16.3,3,No,Yes,No,Coupa; SharePoint; TMS,3,Carrier Documentation; Invoice; PO,3,AP-A05
MRG-2026-0060,V-744205,BluePeak Logistics,INV-734282,PO-964554,2026-05-30,2026-06-03,23076.93,DUPLICATE,No,CLOSED,REJECT_DISPUTE,AP Team Lead,4,0.8,5,Yes,No,No,Coupa; SAP,2,Invoice; Payment History; Prior Invoice,3,AP-A01
MRG-2026-0061,V-203811,Apex Industrial Supply,INV-544570,PO-530707,2026-02-13,2026-03-04,17633.94,PRICE_MISMATCH,No,CLOSED,PAY_PO_AMOUNT,AP Team Lead,18,1.0,5,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO; Pricing Agreement,3,AP-A04
MRG-2026-0062,V-203811,Apex Industrial Supply,INV-806240,PO-668643,2026-06-22,2026-06-26,25897.25,MISSING_RECEIPT,No,CLOSED,ESCALATE,AP Team Lead,33,3.7,5,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,PO; Proof of Delivery,2,AP-A07
MRG-2026-0063,V-100184,NorthStar Consumer Products,INV-970977,PO-655011,2026-02-22,2026-03-17,49834.45,PRICE_MISMATCH,Yes,CLOSED,PAY_AS_INVOICED,AP Team Lead,21,1.4,3,Yes,Yes,No,Outlook; SharePoint,2,Invoice; PO; Pricing Agreement,3,AP-A06
MRG-2026-0064,V-301442,Solara Imports,INV-119595,PO-988552,2026-02-28,2026-03-20,4469.41,PRICE_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Analyst,9,13.6,3,No,No,Yes,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO; Pricing Agreement,3,AP-A08
MRG-2026-0065,V-301442,Solara Imports,INV-245977,PO-982254,2026-01-31,2026-02-21,137829.32,MISSING_RECEIPT,Yes,CLOSED,PAY_AS_INVOICED,AP Manager,16,19.0,3,No,No,Yes,Coupa; Outlook; Receiving; SAP,4,Invoice; PO; Proof of Delivery; Receiving Confirmation,4,AP-A07
MRG-2026-0066,V-100184,NorthStar Consumer Products,INV-173138,PO-949824,2026-04-06,2026-04-19,48449.23,OTHER,Yes,CLOSED,PAY_AS_INVOICED,AP Team Lead,26,2.5,3,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Amendment; Email Thread; Invoice,3,AP-A06
MRG-2026-0067,V-100184,NorthStar Consumer Products,INV-237681,PO-921209,2026-01-21,2026-02-15,30142.89,PRICE_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Team Lead,20,2.6,3,Yes,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO; Pricing Agreement,3,AP-A04
MRG-2026-0068,V-512870,Pinnacle Packaging,INV-910912,PO-590896,2026-06-06,2026-06-08,17755.04,FREIGHT,No,CLOSED,PARTIAL_ADJUSTMENT,AP Team Lead,18,12.7,5,No,No,No,Coupa; SAP; SharePoint; TMS,4,Carrier Documentation; Freight Terms; Invoice,3,AP-A03
MRG-2026-0069,V-744205,BluePeak Logistics,INV-168395,PO-584861,2026-07-19,2026-07-29,9493.31,FREIGHT,No,CLOSED,ESCALATE,AP Analyst,37,14.8,5,No,Yes,No,Coupa; Outlook; SAP; SharePoint,4,Freight Terms; Invoice; PO,3,AP-A02
MRG-2026-0070,V-744205,BluePeak Logistics,INV-338347,PO-873041,2026-05-02,2026-05-09,31361.47,CONTRACT_TERM,No,CLOSED,ESCALATE,AP Team Lead,46,13.2,5,No,No,No,Coupa; Outlook; SAP; SharePoint,4,Amendment; PO,2,AP-A01
MRG-2026-0071,V-744205,BluePeak Logistics,INV-274335,PO-890354,2026-07-14,2026-07-27,13673.1,OTHER,No,CLOSED,PAY_AS_INVOICED,AP Team Lead,48,1.3,5,Yes,Yes,No,Coupa; Outlook; SharePoint; TMS,4,Freight Terms; Invoice; PO,3,AP-A05
MRG-2026-0072,V-100184,NorthStar Consumer Products,INV-987857,PO-526936,2026-01-17,2026-02-03,147657.07,PRICE_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Manager,33,2.2,3,Yes,No,No,Coupa; SAP; SharePoint,3,Invoice; PO; Pricing Agreement,3,AP-A07
MRG-2026-0073,V-100184,NorthStar Consumer Products,INV-636190,PO-587680,2026-01-23,2026-02-13,29362.31,OTHER,Yes,CLOSED,ESCALATE,AP Team Lead,26,11.3,3,No,No,No,Outlook; SAP; SharePoint; TMS,4,Case Notes; Email Thread,2,AP-A05
MRG-2026-0074,V-203811,Apex Industrial Supply,INV-282810,PO-840193,2026-04-17,2026-05-03,80304.53,OTHER,No,CLOSED,REJECT_DISPUTE,AP Manager,29,1.2,5,Yes,No,No,Outlook; Receiving; SAP,3,PO; Proof of Delivery; Receiving Confirmation,3,AP-A03
MRG-2026-0075,V-100184,NorthStar Consumer Products,INV-597094,PO-690934,2026-04-14,2026-04-20,48891.02,CONTRACT_TERM,Yes,CLOSED,PAY_AS_INVOICED,AP Team Lead,38,13.2,3,No,No,No,Coupa; Outlook; SAP; SharePoint,4,Amendment; Invoice; Master Agreement,3,AP-A05
MRG-2026-0076,V-100184,NorthStar Consumer Products,INV-974580,PO-977641,2026-05-22,2026-05-25,17703.28,CONTRACT_TERM,Yes,CLOSED,ESCALATE,AP Team Lead,29,17.5,3,No,No,Yes,SAP; SharePoint,2,Amendment; Email Thread; PO,3,AP-A02
MRG-2026-0077,V-203811,Apex Industrial Supply,INV-815059,PO-533077,2026-06-03,2026-06-13,94833.81,CONTRACT_TERM,No,CLOSED,ESCALATE,AP Manager,33,13.4,5,No,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; PO,2,AP-A06
MRG-2026-0078,V-512870,Pinnacle Packaging,INV-449002,PO-658698,2026-03-05,2026-03-22,29026.64,CONTRACT_TERM,No,CLOSED,ESCALATE,AP Team Lead,29,15.9,5,No,No,No,Coupa; Outlook; SAP; SharePoint,4,Invoice; Master Agreement; PO,3,AP-A01
MRG-2026-0079,V-410221,Harbor Home Goods,INV-925555,PO-551617,2026-04-18,2026-04-28,66884.88,OTHER,No,CLOSED,PARTIAL_ADJUSTMENT,AP Manager,99,14.4,5,No,Yes,No,Coupa; Outlook; SAP; SharePoint,4,Amendment; Invoice; Master Agreement; PO,4,AP-A07
MRG-2026-0080,V-410221,Harbor Home Goods,INV-666958,PO-521083,2026-08-08,2026-08-15,35054.25,MISSING_RECEIPT,No,CLOSED,PAY_AS_INVOICED,AP Team Lead,27,0.9,5,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,Invoice; PO; Proof of Delivery,3,AP-A04
MRG-2026-0081,V-512870,Pinnacle Packaging,INV-545070,PO-680872,2026-01-16,2026-01-25,19323.84,MISSING_RECEIPT,No,CLOSED,PARTIAL_ADJUSTMENT,AP Team Lead,23,3.5,5,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,Invoice; PO; Proof of Delivery; Receiving Confirmation,4,AP-A05
MRG-2026-0082,V-301442,Solara Imports,INV-155686,PO-596679,2026-07-23,2026-08-07,37474.36,QUANTITY_MISMATCH,Yes,CLOSED,PAY_PO_AMOUNT,AP Team Lead,16,1.4,3,Yes,No,No,Coupa; Outlook; SAP,3,Goods Receipt; Invoice; Proof of Delivery,3,AP-A05
MRG-2026-0083,V-100184,NorthStar Consumer Products,INV-944530,PO-625528,2025-12-15,2026-01-09,341942.62,CONTRACT_TERM,Yes,CLOSED,PAY_PO_AMOUNT,Finance Director,59,19.4,3,No,No,Yes,Coupa; SAP; SharePoint,3,Amendment; Email Thread; Invoice; Master Agreement; PO,5,AP-A05
MRG-2026-0084,V-744205,BluePeak Logistics,INV-106471,PO-938392,2026-05-02,2026-05-22,9927.15,OTHER,No,CLOSED,ESCALATE,AP Analyst,36,4.3,5,Yes,No,No,Outlook; SAP; SharePoint,3,Case Notes; Invoice,2,AP-A03
MRG-2026-0085,V-301442,Solara Imports,INV-144919,PO-741226,2026-03-28,2026-04-10,32094.92,TAX,Yes,CLOSED,ESCALATE,AP Team Lead,23,15.0,3,No,No,No,Coupa; Outlook; SAP,3,Supplier Tax Document; Tax Configuration,2,AP-A03
MRG-2026-0086,V-744205,BluePeak Logistics,INV-406155,PO-749359,2026-01-31,2026-02-16,19976.31,TAX,No,CLOSED,ESCALATE,AP Team Lead,19,14.2,5,No,No,No,Outlook; Tax Config,2,PO; Supplier Tax Document; Tax Configuration,3,AP-A01
MRG-2026-0087,V-633190,Evergreen Facilities,INV-387106,PO-682477,2026-02-18,2026-03-15,17728.02,PRICE_MISMATCH,No,CLOSED,ESCALATE,AP Team Lead,16,12.6,5,No,No,No,Coupa; Outlook; Receiving; SAP,4,Goods Receipt; Invoice; Proof of Delivery,3,AP-A04
MRG-2026-0088,V-410221,Harbor Home Goods,INV-979616,PO-565155,2026-03-07,2026-03-26,69205.26,QUANTITY_MISMATCH,No,CLOSED,PAY_PO_AMOUNT,AP Manager,11,1.3,5,Yes,No,No,Coupa; Outlook; Receiving; SAP,4,Invoice; PO,2,AP-A08
MRG-2026-0089,V-744205,BluePeak Logistics,INV-967661,PO-591918,2026-03-07,2026-03-26,53679.86,MISSING_RECEIPT,No,CLOSED,ESCALATE,AP Manager,36,18.3,5,No,No,Yes,Coupa; Outlook; Receiving; SAP,4,PO; Receiving Confirmation,2,AP-A07
